"TransactionNo","LogSalePrice","SalePrice","DateOfSale","NumberOfBedrooms","NumberOfBathrooms","NumberOfFloors","LivingSpace","TotalArea","AboveGroundFloor","ConstructionYear","RenovationYear","BasementSize","WaterfronView","View","ZipCode","RenovationFlag","WaterfrontView","SeattleFlag","DaysSinceSale","SaleYear","SaleMonth","condition","grade"
"30",11501160,13.6384153201419,837700,"20140617T000000","5","2.75","2",3010,12611,3010,1994,0,0,0,"0",98052,"No","0","No",992,2014,6,3,10
"31",11501310,13.4800378216761,715000,"20141121T000000","3","3.25","2",3060,9055,2460,1994,0,600,0,"0",98052,"No","0","No",835,2014,11,3,10
"32",11501330,13.5860973936365,795000,"20140902T000000","3","3.5","2",3190,10223,2560,1994,0,630,0,"0",98052,"No","0","No",915,2014,9,3,10
"33",11510310,13.635187003833,835000,"20140905T000000","4","2.75","2",3130,13412,2140,1993,0,990,0,"0",98052,"No","0","No",912,2014,9,3,9
"34",11510700,13.5344730282312,755000,"20140519T000000","4","2.5","2",2660,10452,2660,1993,0,0,0,"0",98052,"No","0","No",1021,2014,5,3,9
"35",11520030,13.3692234553359,640000,"20140624T000000","4","2.5","2",2341,9594,2341,1997,0,0,0,"0",98052,"No","0","No",985,2014,6,3,9
"36",11520200,13.5278284855125,750000,"20141015T000000","4","2.5","2",3020,13122,2540,1997,0,480,0,"0",98052,"No","0","No",872,2014,10,3,9
"37",11520370,13.5116991035826,738000,"20141229T000000","3","2.5","2",2620,9112,2620,1995,0,0,0,"0",98052,"No","0","No",797,2014,12,3,9
"38",11520640,13.6047895266486,810000,"20140801T000000","4","2.75","2",3010,10450,3010,1996,0,0,0,"0",98052,"No","0","No",947,2014,8,3,9
"39",11900140,12.4450895460007,254000,"20140509T000000","3","2.5","2",1850,4597,1850,2003,0,0,0,"0",98042,"No","0","No",1031,2014,5,3,8
"40",13001215,11.7752897294377,130000,"20150305T000000","3","1","1",1100,5100,1100,1913,0,0,0,"0",98108,"No","0","Yes",731,2015,3,4,7
"41",13001795,12.6745125527997,319500,"20141014T000000","4","2.75","1.5",2500,5100,1420,1907,0,1080,0,"0",98108,"No","0","Yes",873,2014,10,4,7
"42",13001991,12.2404740722475,207000,"20140902T000000","3","2.5","2",1520,2550,1520,2005,0,0,0,"0",98108,"No","0","Yes",915,2014,9,3,7
"43",13002460,12.2307652581205,205000,"20150318T000000","2","1.75","1",1740,5100,580,1915,0,1160,0,"0",98108,"No","0","Yes",718,2015,3,3,6
"44",13002495,12.594730635322,295000,"20140707T000000","3","1.5","2",1640,7222,1640,1908,0,0,0,"0",98108,"No","0","Yes",972,2014,7,4,7
"45",16000015,12.3011555267769,219950,"20150417T000000","3","1.5","1",1070,6601,1070,1985,0,0,0,"0",98002,"No","0","No",688,2015,4,3,6
"46",16000200,12.4292161968444,250000,"20141024T000000","3","2.25","2",1640,4420,1640,1918,1983,0,0,"0",98002,"Yes","0","No",863,2014,10,4,7
"47",16000397,12.1495022940418,189000,"20141205T000000","2","1","1",1200,9850,1200,1921,0,0,0,"0",98002,"No","0","No",821,2014,12,4,7
"48",16000435,12.2945412935178,218500,"20150316T000000","2","1","1",1600,8961,1390,1949,0,210,0,"0",98002,"No","0","No",720,2015,3,4,7
"49",16000545,12.4292161968444,250000,"20150312T000000","4","1","1",1320,11212,1320,1914,0,0,0,"0",98002,"No","0","No",724,2015,3,5,6
"50",23500180,13.2533916398107,570000,"20140505T000000","3","2.25","1",2010,6000,1330,1975,0,680,0,"0",98052,"No","0","No",1035,2014,5,3,8
"51",23500190,13.1519221796459,515000,"20141008T000000","4","2.25","1",2470,7800,1470,1975,0,1000,0,"0",98052,"No","0","No",879,2014,10,3,8
"52",23500220,13.2178917152286,550120,"20141015T000000","5","2.5","1",2620,8050,1520,1975,0,1100,0,"0",98052,"No","0","No",872,2014,10,3,8
"53",23520190,13.1021606700868,490000,"20150316T000000","3","1.75","1",1470,9750,1470,1978,0,0,0,"0",98052,"No","0","No",720,2015,3,4,7
"54",23520380,13.1974708498911,539000,"20140909T000000","3","1.75","1",1790,9860,1410,1978,0,380,0,"0",98052,"No","0","No",908,2014,9,4,7
"55",31000165,14.2142866779216,1490000,"20140911T000000","5","3.5","2",3620,7821,2790,1958,2010,830,0,"2",98040,"Yes","0","No",906,2014,9,3,10
"56",31200020,13.8547312711176,1040000,"20150319T000000","5","2.75","1",3050,8904,1650,1956,0,1400,0,"0",98040,"No","0","No",717,2015,3,4,8
"57",34000005,12.7471345119261,343566,"20140618T000000","2","1","1",1100,4200,1100,1954,0,0,0,"0",98136,"No","0","Yes",991,2014,6,3,7
"58",34001160,13.2878778158819,590000,"20140919T000000","3","2","1",3030,9374,2100,1959,0,930,0,"1",98136,"No","0","Yes",898,2014,9,4,7
"59",34001304,13.0815413828841,480000,"20150410T000000","5","2.25","1",2240,5500,1490,1959,0,750,0,"0",98136,"No","0","Yes",695,2015,4,3,7
"60",34001540,13.2591644188965,573300,"20150423T000000","2","1.75","1",1290,6600,870,1951,0,420,0,"2",98136,"No","0","Yes",682,2015,4,3,7
"61",34001765,13.458764182903,699950,"20150325T000000","3","3.25","1",2230,5460,1430,1977,0,800,0,"1",98136,"No","0","Yes",711,2015,3,4,8
"62",37000335,13.0090826909454,446450,"20140814T000000","3","1.5","1",1480,7749,1480,1960,0,0,0,"0",98126,"No","0","Yes",934,2014,8,5,7
"63",37000435,12.6915804613119,325000,"20150214T000000","2","1","1",1130,5070,1130,1955,0,0,0,"0",98146,"No","0","Yes",750,2015,2,4,7
"64",40000228,12.3099821089207,221900,"20141015T000000","2","1","1",780,6727,780,1939,0,0,0,"0",98168,"No","0","No",872,2014,10,3,6
"65",40000235,12.8479265317026,380000,"20150414T000000","5","2.5","2",2130,8428,2130,2013,0,0,0,"0",98168,"No","0","No",691,2015,4,3,7
"66",40000362,11.2644641056717,78000,"20140506T000000","2","1","1",780,16344,780,1942,0,0,0,"0",98168,"No","0","No",1034,2014,5,1,5
"67",40000471,12.0435537160324,170000,"20140604T000000","2","1","1",1500,18540,1500,1950,0,0,0,"0",98168,"No","0","No",1005,2014,6,3,8
"68",40000553,12.4292161968444,250000,"20150304T000000","2","1","1.5",1400,19570,1100,1929,0,300,0,"0",98168,"No","0","No",732,2015,3,3,6
"69",40000669,13.122263372404,499950,"20150319T000000","4","2.5","2",2910,20067,2910,2001,0,0,0,"0",98168,"No","0","No",717,2015,3,3,9
"70",40001065,12.4292161968444,250000,"20140529T000000","2","1","1",1110,26051,1110,1951,0,0,0,"0",98168,"No","0","No",1011,2014,5,3,6
"71",41000454,11.7752897294377,130000,"20140815T000000","2","1","1",880,9000,880,1928,0,0,0,"0",98188,"No","0","No",933,2014,8,3,5
"72",42000006,12.3673407931263,235000,"20140910T000000","5","1","1.5",1500,9282,1500,1966,0,0,0,"0",98168,"No","0","No",907,2014,9,5,6
"73",42000065,12.7798730684576,355000,"20150305T000000","2","1","1",1450,9150,1450,1965,0,0,0,"0",98188,"No","0","No",731,2015,3,4,7
"74",42000127,12.91533920797,406500,"20150224T000000","3","1.5","1",1970,10080,1970,1966,0,0,0,"0",98168,"No","0","No",740,2015,2,3,7
"75",42000130,13.3046849341983,6e+05,"20140924T000000","5","4.5","2",4440,9784,4440,2012,0,0,0,"0",98168,"No","0","No",893,2014,9,3,10
"76",42000245,12.0494188354848,171000,"20140613T000000","4","2","1",1520,19672,1020,1920,0,500,0,"0",98188,"No","0","No",996,2014,6,3,6
"77",46100204,14.2276202087911,1510000,"20150221T000000","5","3","1",3300,33474,1870,1957,1991,1430,0,"3",98040,"Yes","0","No",743,2015,2,3,9
"78",46100350,14.363631966474,1730000,"20140630T000000","5","3.5","2",5000,26540,3410,2008,0,1590,0,"3",98040,"No","0","No",979,2014,6,3,10
"79",46100504,14.523546351018,2030000,"20140617T000000","4","3.75","1.5",4100,22798,2540,1934,1979,1560,0,"3",98040,"Yes","0","No",992,2014,6,5,11
"80",49000051,12.7656884334656,350000,"20150316T000000","2","1.75","1",1430,7921,1430,1983,0,0,0,"0",98146,"No","0","Yes",720,2015,3,3,7
"81",49500090,12.8266491332553,372000,"20141205T000000","4","1.5","1.5",1780,7914,1780,1962,0,0,0,"0",98059,"No","0","No",821,2014,12,4,7
"82",50300090,12.8965913747364,398950,"20140811T000000","4","3","2",3000,10297,3000,2003,0,0,0,"0",98042,"No","0","No",937,2014,8,3,8
"83",50300220,12.802158113247,363000,"20150212T000000","4","2.5","2",2180,9281,2180,2004,0,0,0,"0",98042,"No","0","No",752,2015,2,3,8
"84",52000067,13.1123130415508,495000,"20141103T000000","3","3.5","2",1650,1577,1100,2012,0,550,0,"0",98109,"No","0","Yes",853,2014,11,3,7
"85",53500020,12.4211840251471,248000,"20150114T000000","3","2.5","2",1870,4046,1870,2007,0,0,0,"0",98042,"No","0","No",781,2015,1,3,7
"86",53500450,12.6502775819543,311850,"20150309T000000","4","2.5","2",1890,4158,1890,2014,0,0,0,"0",98042,"No","0","No",727,2015,3,3,8
"87",53500760,12.5672374947418,287000,"20141208T000000","4","2.5","2",2660,4082,2660,2010,0,0,0,"0",98042,"No","0","No",818,2014,12,3,7
"88",56000095,13.5985975564007,805000,"20140626T000000","3","2.75","1.5",2600,5875,1600,1929,0,1000,0,"2",98116,"No","0","Yes",983,2014,6,5,8
"89",59000201,13.3231893335402,611206,"20150505T000000","1","1","1",1940,6300,1940,1963,0,0,0,"3",98116,"No","0","Yes",670,2015,5,3,8
"90",59000250,13.4870064909922,720000,"20141203T000000","3","1.5","1",2180,5000,1090,1941,0,1090,0,"3",98116,"No","0","Yes",823,2014,12,4,8
"91",59000445,13.2878778158819,590000,"20140923T000000","4","2.75","2",2240,5400,1540,1940,0,700,0,"0",98116,"No","0","Yes",894,2014,9,4,7
"92",59500050,12.6912727216572,324900,"20141216T000000","4","2.25","2",2010,7280,2010,1988,0,0,0,"0",98032,"No","0","No",810,2014,12,4,8
"93",65000085,12.9715404876697,430000,"20140708T000000","3","2","1",1550,6039,830,1942,0,720,0,"0",98126,"No","0","Yes",971,2014,7,5,7
"94",65000210,13.0626133729986,471000,"20140626T000000","2","1.75","1",1240,6417,1240,1924,0,0,0,"0",98126,"No","0","Yes",983,2014,6,5,7
"95",65000260,13.6291809797728,830000,"20140820T000000","3","2.5","2",3370,6550,2840,1912,2001,530,0,"2",98126,"Yes","0","Yes",928,2014,8,4,8
"96",65000400,13.2533916398107,570000,"20141022T000000","4","3","1.5",1490,6766,1490,1915,0,0,0,"1",98136,"No","0","Yes",865,2014,10,5,7
"97",66000070,12.6603279178078,315000,"20150406T000000","2","1","1",630,6550,630,1918,0,0,0,"0",98126,"No","0","Yes",699,2015,4,3,5
"98",66000140,12.8942072842666,398000,"20141120T000000","3","1","1.5",1480,6550,1480,1925,0,0,0,"0",98126,"No","0","Yes",836,2014,11,4,6
"99",66000265,12.8212582846204,370000,"20140807T000000","2","1","1",820,6550,820,1949,2012,0,0,"0",98126,"Yes","0","Yes",941,2014,8,3,7
"100",84000105,12.4490188241406,255000,"20140507T000000","5","2.25","1",2060,8632,1030,1962,0,1030,0,"0",98146,"No","0","Yes",1033,2014,5,3,7
"101",84000245,12.1547793511426,190000,"20141120T000000","3","1.75","1",1100,9452,1100,1942,0,0,0,"0",98146,"No","0","Yes",836,2014,11,3,6
"102",84000335,12.3238556811866,225000,"20140626T000000","3","2","1",1700,11475,970,1945,0,730,0,"0",98146,"No","0","Yes",983,2014,6,5,6
"103",87000006,12.5245263766487,275000,"20150413T000000","4","1.75","1",1680,19405,1560,1959,0,120,0,"0",98055,"No","0","No",692,2015,4,4,7
"104",87000213,11.7675676833438,129000,"20140613T000000","2","1","1",1150,30184,1150,1950,0,0,0,"0",98055,"No","0","No",996,2014,6,3,6
"105",87000245,12.0435537160324,170000,"20140930T000000","3","0.75","1",1040,42180,1040,1947,0,0,0,"0",98055,"No","0","No",887,2014,9,2,6
"106",87000283,12.7937204118974,359950,"20141118T000000","3","2.5","2",1980,7800,1980,1999,0,0,0,"0",98055,"No","0","No",838,2014,11,3,8
"107",88000173,12.7158977689626,333000,"20141015T000000","4","2","1",2750,9001,2750,2008,0,0,0,"0",98055,"No","0","No",872,2014,10,3,8
"108",88000591,12.2643415536542,212000,"20150414T000000","3","1","1",1000,9450,1000,1962,0,0,0,"0",98055,"No","0","No",691,2015,4,3,6
"109",88000790,12.4371843664936,252000,"20140714T000000","3","1","1",1170,9730,1170,1968,1986,0,0,"0",98055,"Yes","0","No",965,2014,7,3,7
"110",91000135,13.5278284855125,750000,"20150507T000000","4","1.5","1.5",2060,4000,1580,1920,1990,480,0,"2",98103,"Yes","0","Yes",668,2015,5,3,7
"111",91000320,12.8815648908514,393000,"20140923T000000","2","1","1",980,3350,980,1925,0,0,0,"0",98103,"No","0","Yes",894,2014,9,4,7
"112",97600140,13.5923670066501,8e+05,"20140729T000000","4","2.5","2",2930,5000,2760,2007,0,170,0,"0",98006,"No","0","No",950,2014,7,3,9
"113",98000060,13.8737794660882,1060000,"20140714T000000","4","4","2",5320,20041,5320,2003,0,0,0,"0",98075,"No","0","No",965,2014,7,3,11
"114",98000130,14.1731850022361,1430000,"20150324T000000","4","5","2",4630,24054,4630,2005,0,0,0,"3",98075,"No","0","No",712,2015,3,3,11
"115",98000150,14.2007729587549,1470000,"20150102T000000","4","4","2",4930,22093,4930,2004,0,0,0,"3",98075,"No","0","No",793,2015,1,3,12
"116",98000560,13.7745843913516,959900,"20140816T000000","4","3.75","2",3550,15151,3550,2004,0,0,0,"0",98075,"No","0","No",932,2014,8,3,11
"117",98000740,13.7589402064759,945000,"20150401T000000","5","3.5","2",4380,14925,4380,2003,0,0,0,"0",98075,"No","0","No",704,2015,4,3,11
"118",98000750,13.9725143067739,1170000,"20141021T000000","5","3.75","2",4220,15959,4220,2004,0,0,0,"0",98075,"No","0","No",866,2014,10,3,11
"119",98000870,13.8737794660882,1060000,"20141001T000000","4","3.5","2",4460,16271,4460,2001,0,0,0,"2",98075,"No","0","No",886,2014,10,3,11
"120",98000950,13.8737794660882,1060000,"20141210T000000","4","5.25","2",4140,14757,4140,2005,0,0,0,"2",98075,"No","0","No",816,2014,12,3,11
"121",98000960,13.8643007221337,1050000,"20140513T000000","4","3.25","2",4400,16625,4400,2003,0,0,0,"0",98075,"No","0","No",1027,2014,5,3,11
"122",98000980,13.9108207377686,1100000,"20150427T000000","4","3.5","2",4570,16219,4570,2002,0,0,0,"0",98075,"No","0","No",678,2015,4,3,11
"123",98001000,13.8450693602058,1030000,"20141007T000000","5","3.5","2",5050,16500,5050,2001,0,0,0,"2",98075,"No","0","No",880,2014,10,3,11
"124",98001070,13.9725143067739,1170000,"20140818T000000","5","4.25","2",4610,13252,4610,2004,0,0,0,"4",98075,"No","0","No",930,2014,8,3,11
"125",98020140,13.5476311128087,765000,"20140708T000000","4","4","2",3010,7221,3010,2004,0,0,0,"0",98075,"No","0","No",971,2014,7,3,10
"126",98020220,13.5278284855125,750000,"20141030T000000","4","2.5","2",3210,8938,3210,2005,0,0,0,"0",98075,"No","0","No",857,2014,10,3,10
"127",98020300,13.5397570563778,759000,"20150203T000000","5","2.75","2",3490,8230,3490,2005,0,0,0,"0",98075,"No","0","No",761,2015,2,3,10
"128",98020310,13.5007998131246,730000,"20140520T000000","4","2.5","2",3230,7331,3230,2004,0,0,0,"0",98075,"No","0","No",1020,2014,5,3,10
"129",98020350,13.4870064909922,720000,"20150123T000000","4","4","2",3200,7708,3200,2004,0,0,0,"0",98075,"No","0","No",772,2015,1,3,10
"130",98020410,13.5954871339863,802500,"20140721T000000","4","3.75","2",3320,8030,3320,2005,0,0,0,"0",98075,"No","0","No",958,2014,7,3,10
"131",98020480,13.6933429239901,885000,"20140828T000000","4","2.5","2",4090,11225,4090,2005,0,0,0,"0",98075,"No","0","No",920,2014,8,3,10
"132",98020630,13.697852514496,889000,"20150414T000000","4","3.5","2",4070,10976,4070,2004,0,0,0,"0",98075,"No","0","No",691,2015,4,3,10
"133",98030140,13.5740757366778,785500,"20141013T000000","4","4","2",3280,8448,3280,2007,0,0,0,"0",98075,"No","0","No",874,2014,10,3,10
"134",98030160,13.5886099577724,797000,"20150212T000000","3","3.5","2",3500,9473,3500,2008,0,0,0,"0",98075,"No","0","No",752,2015,2,3,10
"135",98030400,13.5797882244432,790000,"20140711T000000","4","3.5","2",3560,6098,3560,2006,0,0,0,"0",98075,"No","0","No",968,2014,7,3,10
"136",98030530,13.5211394973617,745000,"20140610T000000","4","3.25","2",3490,7024,3490,2006,0,0,0,"0",98075,"No","0","No",999,2014,6,3,10
"137",98030630,13.6559284881398,852500,"20141215T000000","5","3.75","2",3830,8131,3830,2005,0,0,0,"0",98075,"No","0","No",811,2014,12,3,10
"138",98030660,13.610943392223,815000,"20150311T000000","4","2.5","2",3880,7208,3880,2006,0,0,0,"0",98075,"No","0","No",725,2015,3,3,10
"139",98300230,14.1939469936845,1460000,"20150428T000000","4","4","2",4620,130208,4620,2014,0,0,0,"0",98024,"No","0","No",677,2015,4,3,10
"140",100100050,12.5245263766487,275000,"20141112T000000","3","1","1",1320,11090,1320,1955,0,0,0,"0",98155,"No","0","No",844,2014,11,3,7
"141",100300280,12.7798730684576,355000,"20141020T000000","3","2.25","2",1430,4777,1430,2010,0,0,0,"0",98059,"No","0","No",867,2014,10,3,7
"142",100300500,12.7158977689626,333000,"20141121T000000","3","2.5","2",1520,3041,1520,2009,0,0,0,"0",98059,"No","0","No",835,2014,11,3,7
"143",100300530,12.7068479334427,330000,"20140925T000000","3","2.5","2",1520,3003,1520,2009,0,0,0,"0",98059,"No","0","No",892,2014,9,3,7
"144",100500020,12.4292161968444,250000,"20140911T000000","3","2.5","2",1610,6600,1610,1994,0,0,0,"0",98003,"No","0","No",906,2014,9,3,7
"145",100600320,12.273497621845,213950,"20140813T000000","3","1","1",1430,7000,1430,1968,0,0,0,"0",98023,"No","0","No",935,2014,8,3,6
"146",100600550,12.3305002239052,226500,"20140804T000000","3","1.5","1",1300,7370,900,1976,0,400,0,"0",98023,"No","0","No",944,2014,8,4,7
"147",100600860,12.3779229024568,237500,"20150324T000000","3","1.75","1",1050,7854,1050,1975,0,0,0,"0",98023,"No","0","No",712,2015,3,4,7
"148",103000116,13.3770055957779,645000,"20140722T000000","3","1.75","1",2070,5500,1130,1946,0,940,0,"0",98115,"No","0","Yes",957,2014,7,4,7
"149",103400160,12.4799093111599,263000,"20140515T000000","3","2.25","2",1590,7748,1590,1991,0,0,0,"0",98003,"No","0","No",1025,2014,5,4,7
"150",104500730,11.6526874073454,115000,"20150224T000000","3","1.75","1",1080,7942,1080,1981,0,0,0,"0",98023,"No","0","No",740,2015,2,3,7
"151",104501040,12.428816116823,249900,"20141003T000000","4","2","1.5",1500,7854,1500,1983,0,0,0,"0",98023,"No","0","No",884,2014,10,3,7
"152",104510180,12.3458345879053,230000,"20150211T000000","3","2.25","1",1500,7210,1150,1984,0,350,0,"0",98023,"No","0","No",753,2015,2,3,7
"153",104510230,12.4371843664936,252000,"20141119T000000","3","2","2",1540,7210,1540,1984,0,0,0,"0",98023,"No","0","No",837,2014,11,4,7
"154",104510340,12.5288805199573,276200,"20140925T000000","3","2.5","1",1480,7210,1180,1986,0,300,0,"0",98023,"No","0","No",892,2014,9,3,7
"155",104510440,12.3011555267769,219950,"20140604T000000","3","2.25","1",1500,7615,1150,1984,0,350,0,"0",98023,"No","0","No",1005,2014,6,3,7
"156",104530110,12.498742259493,268000,"20141008T000000","3","2.5","2",1850,6676,1850,1986,0,0,0,"0",98023,"No","0","No",879,2014,10,3,7
"157",104530240,12.3238556811866,225000,"20140827T000000","3","2","1",1320,5665,1320,1986,0,0,0,"0",98023,"No","0","No",921,2014,8,3,7
"158",104530490,12.4211840251471,248000,"20140516T000000","4","3.5","2",1850,6519,1130,1986,0,720,0,"0",98023,"No","0","No",1024,2014,5,3,7
"159",104540820,12.3059179804999,221000,"20140812T000000","3","2.25","2",1430,5999,1430,1987,0,0,0,"0",98023,"No","0","No",936,2014,8,3,7
"160",104540840,12.3883942023241,240000,"20141203T000000","3","2.25","1",1460,5818,1140,1986,0,320,0,"0",98023,"No","0","No",823,2014,12,3,7
"161",104550520,12.5061772379805,270000,"20150330T000000","4","2.5","2",1750,6397,1750,1988,0,0,0,"0",98023,"No","0","No",706,2015,3,3,7
"162",104550540,12.4682445838119,259950,"20150120T000000","4","2","1",1610,6650,1610,1989,0,0,0,"0",98023,"No","0","No",775,2015,1,3,7
"163",104550580,12.4684369099977,260000,"20140520T000000","4","2.5","2",1990,6671,1990,1989,0,0,0,"0",98023,"No","0","No",1020,2014,5,3,7
"164",104550660,12.5245263766487,275000,"20140728T000000","3","2.5","2",1870,6821,1870,1989,0,0,0,"0",98023,"No","0","No",951,2014,7,3,7
"165",104550690,12.5496623499203,282000,"20140725T000000","4","2.75","2",2390,7330,2390,1989,0,0,0,"0",98023,"No","0","No",954,2014,7,3,7
"166",104550740,12.6081988523728,299000,"20141201T000000","3","2.5","2",2450,7062,2450,1993,0,0,0,"0",98023,"No","0","No",825,2014,12,3,8
"167",104550750,12.3925522124728,241000,"20140728T000000","3","2","1",1520,7131,1520,1993,0,0,0,"0",98023,"No","0","No",951,2014,7,3,8
"168",104560010,12.5371733383495,278500,"20140610T000000","4","2.5","2",1940,6206,1940,1990,0,0,0,"0",98023,"No","0","No",999,2014,6,3,7
"169",104560120,12.6260979049697,304400,"20140718T000000","4","2.75","2",2140,8100,2140,1990,0,0,0,"0",98023,"No","0","No",961,2014,7,4,7
"170",104560280,12.5172270741671,273000,"20140522T000000","4","3","2",1990,6180,1990,1990,0,0,0,"0",98023,"No","0","No",1018,2014,5,3,7
"171",104560540,12.6443275764613,310000,"20140917T000000","4","2.75","2",2370,7320,2370,1989,0,0,0,"0",98023,"No","0","No",900,2014,9,3,7
"172",106000015,12.9831013100708,435000,"20140619T000000","3","1.75","1",1310,8065,1310,1948,0,0,0,"0",98117,"No","0","Yes",990,2014,6,4,6
"173",106000044,12.899094818277,399950,"20140826T000000","3","1","1",1470,7930,1070,1950,0,400,0,"0",98177,"No","0","Yes",922,2014,8,3,7
"174",106000320,12.9017167062887,401000,"20141031T000000","2","1","1",840,8100,840,1948,0,0,0,"0",98177,"No","0","Yes",856,2014,10,4,7
"175",106000395,12.9116423460887,405000,"20140624T000000","3","1","1",1410,8053,1410,1951,0,0,0,"0",98177,"No","0","Yes",985,2014,6,4,7
"176",108000127,13.0313439790172,456500,"20141209T000000","4","3.5","3",2000,2309,2000,2008,0,0,0,"0",98177,"No","0","Yes",817,2014,12,3,8
"177",109000040,12.6280670555895,305000,"20150316T000000","3","1.75","1",1460,7862,1460,1965,0,0,0,"0",98155,"No","0","No",720,2015,3,3,7
"178",109200140,12.6081988523728,299000,"20150506T000000","4","2.5","1",2300,8100,1360,1979,0,940,0,"0",98023,"No","0","No",669,2015,5,4,8
"179",109200390,12.4090134895269,245000,"20140820T000000","3","1.75","1",1480,3900,1480,1980,0,0,0,"0",98023,"No","0","No",928,2014,8,4,7
"183",109200730,12.2922503417712,218000,"20140506T000000","3","1.75","1",1850,7684,1320,1979,0,530,0,"0",98023,"No","0","No",1034,2014,5,3,8
"184",109210280,12.3013828253345,220000,"20141111T000000","4","2.25","2",1950,7280,1950,1979,0,0,0,"0",98023,"No","0","No",845,2014,11,4,8
"185",109210460,12.5061772379805,270000,"20141029T000000","3","2","1",2330,8000,1390,1986,0,940,0,"0",98023,"No","0","No",858,2014,10,3,7
"186",110000040,12.5353763926728,278000,"20150317T000000","5","1.5","1",1820,8712,1090,1960,0,730,0,"0",98032,"No","0","No",719,2015,3,5,7
"187",111000190,11.8913619006905,146000,"20150209T000000","2","1","1",780,9750,780,1937,0,0,0,"0",98168,"No","0","No",755,2015,2,3,6
"188",112900020,12.6115377536383,3e+05,"20140701T000000","3","2.25","2",1660,5128,1660,2001,0,0,0,"0",98019,"No","0","No",978,2014,7,3,7
